==========================
Total: 269 (High:59 Medium:169 Low:41 ?:0), 146/269 Fixed, 1151 installed, 248 updatable, 12 exploits, en: 7, ja: 0 alerts

+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
| CVE-2019-9500    |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9500    |
| CVE-2019-9740    |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9740    |
| CVE-2019-9947    |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9947    |
| CVE-2014-8769    |  6.4 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-8769    |
| CVE-2016-3186    |  6.2 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2016-3186    |
| CVE-2018-7191    |  6.2 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7191    |
| CVE-2019-12380   |  6.2 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12380   |
| CVE-2019-14284   |  6.2 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-14284   |
| CVE-2018-1000078 |  6.1 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000078 |
| CVE-2018-16658   |  6.1 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16658   |
| CVE-2019-10092   |  6.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10092   |
| CVE-2019-10098   |  6.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10098   |
| CVE-2018-12181   |  6.0 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12181   |
| CVE-2018-0734    |  5.9 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-0734    |
| CVE-2018-0735    |  5.9 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-0735    |
| CVE-2018-12404   |  5.9 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12404   |
| CVE-2018-1301    |  5.9 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1301    |
| CVE-2018-5742    |  5.9 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5742    |
| CVE-2018-7755    |  5.9 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7755    |
| CVE-2019-0161    |  5.9 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-0161    |
| CVE-2019-1125    |  5.9 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-1125    |
| CVE-2019-6470    |  5.9 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-6470    |
| CVE-2019-9503    |  5.9 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9503    |
| CVE-2019-12378   |  5.7 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12378   |
